iter	Passed	Remaining
0	79	79263
1	81	40530
2	82	27582
3	84	21094
4	86	17181
5	88	14592
6	89	12765
7	91	11376
8	93	10319
9	95	9442
10	97	8774
11	99	8175
12	100	7665
13	102	7233
14	104	6863
15	106	6537
16	108	6245
17	109	5986
18	111	5769
19	113	5565
20	115	5378
21	117	5209
22	118	5054
23	120	4912
24	122	4789
25	124	4664
26	126	4548
27	128	4443
28	130	4354
29	131	4262
30	133	4173
31	135	4097
32	137	4022
33	139	3951
34	140	3886
35	142	3824
36	144	3768
37	147	3721
38	149	3677
39	151	3641
40	153	3596
41	155	3549
42	158	3520
43	159	3473
44	161	3437
45	163	3398
46	165	3361
47	167	3329
48	169	3294
49	171	3263
50	173	3236
51	175	3205
52	178	3185
53	180	3161
54	182	3128
55	183	3098
56	185	3071
57	187	3052
58	189	3025
59	191	3001
60	193	2979
61	195	2955
62	197	2931
63	198	2907
64	200	2884
65	202	2864
66	204	2845
67	206	2830
68	207	2804
69	209	2784
70	211	2764
71	213	2749
72	215	2734
73	217	2720
74	219	2702
75	220	2685
76	222	2670
77	224	2656
78	226	2642
79	228	2628
80	230	2613
81	232	2599
82	234	2586
83	236	2574
84	238	2565
85	240	2551
86	242	2540
87	243	2528
88	246	2519
89	247	2507
90	249	2495
91	251	2484
92	253	2474
93	255	2462
94	257	2450
95	259	2441
96	261	2432
97	263	2426
98	265	2418
99	267	2406
100	269	2395
101	270	2384
102	272	2374
103	274	2365
104	276	2356
105	278	2346
106	279	2336
107	281	2326
108	283	2318
109	285	2309
110	287	2300
111	289	2292
112	291	2288
113	293	2279
114	295	2271
115	296	2262
116	298	2253
117	300	2245
118	302	2238
119	303	2229
120	305	2220
121	307	2212
122	309	2203
123	310	2196
124	312	2188
125	314	2180
126	316	2174
127	318	2168
128	320	2163
129	322	2157
130	324	2151
131	326	2143
132	327	2136
133	329	2128
134	331	2121
135	332	2114
136	334	2106
137	336	2099
138	338	2093
139	339	2087
140	341	2080
141	343	2074
142	344	2067
143	346	2060
144	349	2060
145	351	2055
146	353	2048
147	354	2042
148	356	2038
149	358	2032
150	360	2027
151	362	2023
152	364	2017
153	366	2011
154	368	2006
155	370	2002
156	371	1996
157	373	1990
158	375	1985
159	377	1979
160	378	1973
161	380	1967
162	382	1961
163	383	1956
164	385	1951
165	387	1946
166	389	1942
167	391	1938
168	393	1933
169	394	1927
170	396	1922
171	398	1918
172	400	1914
173	402	1909
174	404	1904
175	405	1900
176	407	1895
177	409	1889
178	410	1884
179	412	1878
180	414	1874
181	415	1869
182	417	1864
183	419	1859
184	421	1854
185	422	1850
186	424	1845
187	426	1840
188	427	1835
189	429	1830
190	431	1825
191	432	1820
192	434	1816
193	436	1811
194	438	1809
195	439	1804
196	441	1799
197	443	1794
198	444	1790
199	446	1785
200	448	1781
201	449	1777
202	451	1773
203	453	1767
204	454	1763
205	456	1758
206	457	1754
207	459	1749
208	461	1745
209	463	1742
210	464	1737
211	466	1733
212	468	1729
213	469	1725
214	471	1720
215	472	1716
216	474	1711
217	476	1707
218	477	1703
219	479	1698
220	480	1694
221	482	1690
222	483	1686
223	485	1682
224	487	1678
225	488	1673
226	490	1670
227	492	1666
228	493	1663
229	495	1659
230	497	1655
231	498	1651
232	500	1647
233	502	1643
234	503	1640
235	505	1636
236	507	1632
237	508	1628
238	510	1624
239	511	1621
240	513	1617
241	515	1613
242	516	1609
243	518	1606
244	520	1603
245	522	1600
246	523	1597
247	525	1593
248	526	1589
249	528	1585
250	530	1582
251	531	1578
252	533	1574
253	534	1571
254	536	1567
255	538	1564
256	539	1560
257	541	1557
258	542	1553
259	544	1549
260	546	1546
261	547	1542
262	549	1539
263	550	1536
264	552	1532
265	554	1529
266	555	1525
267	557	1523
268	559	1519
269	560	1516
270	562	1513
271	564	1509
272	565	1506
273	567	1502
274	568	1499
275	570	1495
276	571	1492
277	573	1489
278	575	1485
279	576	1481
280	577	1477
281	579	1474
282	580	1471
283	582	1467
284	583	1464
285	585	1461
286	587	1458
287	588	1455
288	590	1452
289	592	1449
290	593	1446
291	595	1443
292	597	1440
293	598	1437
294	600	1434
295	601	1431
296	603	1428
297	605	1425
298	606	1422
299	608	1419
300	609	1416
301	611	1413
302	613	1410
303	614	1407
304	616	1404
305	617	1401
306	619	1398
307	621	1395
308	622	1392
309	624	1389
310	625	1386
311	627	1383
312	629	1380
313	630	1377
314	632	1374
315	633	1372
316	635	1369
317	637	1366
318	638	1363
319	640	1360
320	641	1357
321	643	1354
322	644	1351
323	646	1348
324	648	1346
325	649	1343
326	651	1340
327	653	1338
328	654	1335
329	656	1333
330	658	1330
331	659	1327
332	661	1325
333	663	1322
334	664	1319
335	666	1317
336	668	1314
337	669	1311
338	671	1309
339	673	1306
340	674	1304
341	676	1301
342	678	1299
343	679	1296
344	681	1293
345	683	1291
346	684	1288
347	686	1286
348	688	1283
349	690	1281
350	692	1279
351	694	1277
352	695	1275
353	697	1272
354	698	1269
355	701	1268
356	702	1265
357	704	1263
358	706	1260
359	707	1258
360	709	1255
361	711	1253
362	712	1251
363	714	1248
364	716	1246
365	718	1243
366	719	1241
367	721	1238
368	722	1236
369	724	1233
370	726	1230
371	727	1228
372	729	1226
373	731	1224
374	733	1221
375	734	1219
376	736	1216
377	737	1214
378	739	1211
379	741	1209
380	742	1206
381	744	1204
382	746	1202
383	748	1200
384	749	1197
385	751	1195
386	753	1192
387	754	1190
388	756	1187
389	757	1185
390	759	1183
391	761	1180
392	762	1178
393	764	1176
394	766	1173
395	768	1171
396	769	1169
397	771	1166
398	773	1164
399	774	1162
400	776	1160
401	778	1157
402	779	1155
403	781	1152
404	783	1150
405	784	1148
406	786	1145
407	787	1143
408	789	1141
409	791	1138
410	792	1136
411	794	1133
412	796	1131
413	797	1129
414	799	1126
415	800	1124
416	802	1122
417	804	1119
418	806	1117
419	808	1115
420	809	1113
421	811	1111
422	812	1108
423	814	1106
424	816	1104
425	817	1101
426	819	1099
427	821	1097
428	822	1095
429	824	1093
430	826	1091
431	828	1089
432	830	1086
433	831	1084
434	833	1082
435	835	1080
436	836	1078
437	838	1075
438	840	1073
439	841	1071
440	843	1069
441	845	1067
442	847	1065
443	848	1062
444	850	1060
445	852	1058
446	853	1056
447	855	1054
448	857	1051
449	859	1050
450	860	1047
451	862	1045
452	864	1043
453	866	1041
454	868	1039
455	870	1038
456	872	1036
457	873	1033
458	875	1032
459	877	1030
460	879	1028
461	881	1026
462	883	1024
463	885	1022
464	886	1020
465	888	1018
466	890	1016
467	892	1014
468	893	1011
469	895	1009
470	897	1008
471	899	1006
472	901	1004
473	902	1002
474	904	999
475	906	997
476	908	995
477	909	993
478	911	991
479	912	989
480	914	987
481	916	984
482	918	982
483	920	981
484	921	979
485	923	976
486	925	974
487	927	972
488	929	971
489	930	968
490	932	966
491	934	964
492	936	962
493	937	960
494	939	958
495	941	956
496	943	954
497	944	952
498	946	950
499	948	948
500	950	946
501	952	944
502	954	943
503	956	941
504	958	939
505	960	937
506	964	937
507	965	935
508	968	933
509	970	932
510	972	930
511	974	928
512	976	926
513	978	924
514	980	922
515	981	921
516	984	919
517	986	917
518	989	917
519	991	915
520	993	913
521	994	911
522	997	909
523	998	907
524	1000	905
525	1002	903
526	1005	902
527	1006	900
528	1008	897
529	1010	895
530	1011	893
531	1013	891
532	1015	889
533	1017	887
534	1019	886
535	1021	884
536	1023	882
537	1024	880
538	1026	877
539	1027	875
540	1029	873
541	1032	872
542	1034	870
543	1036	868
544	1038	867
545	1040	865
546	1042	863
547	1044	861
548	1046	859
549	1048	857
550	1050	855
551	1051	853
552	1053	851
553	1055	849
554	1056	847
555	1058	845
556	1060	843
557	1062	841
558	1063	839
559	1065	837
560	1067	835
561	1068	832
562	1070	830
563	1071	828
564	1073	826
565	1075	824
566	1076	822
567	1078	820
568	1080	818
569	1082	816
570	1083	814
571	1085	812
572	1087	810
573	1088	808
574	1090	805
575	1092	804
576	1094	802
577	1095	800
578	1097	797
579	1098	795
580	1100	793
581	1102	791
582	1103	789
583	1105	787
584	1107	785
585	1108	783
586	1110	781
587	1111	779
588	1113	777
589	1115	774
590	1116	772
591	1118	770
592	1120	768
593	1122	767
594	1123	764
595	1125	762
596	1126	760
597	1128	758
598	1129	756
599	1131	754
600	1133	752
601	1134	750
602	1136	748
603	1138	746
604	1140	744
605	1141	742
606	1143	740
607	1144	737
608	1146	736
609	1148	734
610	1150	732
611	1152	730
612	1153	728
613	1155	726
614	1157	724
615	1158	722
616	1160	720
617	1162	718
618	1164	716
619	1165	714
620	1167	712
621	1169	710
622	1170	708
623	1172	706
624	1173	704
625	1176	702
626	1178	700
627	1179	698
628	1181	697
629	1183	694
630	1185	693
631	1186	691
632	1188	689
633	1190	687
634	1192	685
635	1193	683
636	1195	681
637	1196	679
638	1198	677
639	1200	675
640	1202	673
641	1203	671
642	1205	669
643	1207	667
644	1208	665
645	1210	663
646	1212	661
647	1213	659
648	1215	657
649	1217	655
650	1218	653
651	1220	651
652	1221	649
653	1223	647
654	1224	645
655	1226	643
