iter	Passed	Remaining
0	1	325
1	2	293
2	4	284
3	5	283
4	7	284
5	8	284
6	10	279
7	11	278
8	13	278
9	14	273
10	15	271
11	17	274
12	19	280
13	21	288
14	23	284
15	24	283
16	25	278
17	27	274
18	28	273
19	30	275
20	32	273
21	33	271
22	34	267
23	36	266
24	37	264
25	39	261
26	40	259
27	41	255
28	42	253
29	44	250
30	45	247
31	46	245
32	48	243
33	49	240
34	50	238
35	51	236
36	53	234
37	54	232
38	55	230
39	57	228
40	58	226
41	59	224
42	61	224
43	63	223
44	64	221
45	65	220
46	67	218
47	69	218
48	72	221
49	73	221
50	75	220
51	78	222
52	79	220
53	81	220
54	82	218
55	85	220
56	87	219
57	89	219
58	91	219
59	93	218
60	95	218
61	97	217
62	99	215
63	101	214
64	102	212
65	103	210
66	104	208
67	106	206
68	107	204
69	108	202
70	110	200
71	111	197
72	112	195
73	113	193
74	115	191
75	116	190
76	118	188
77	119	186
78	120	184
79	121	182
80	123	181
81	124	179
82	125	177
83	126	175
84	128	173
85	129	171
86	130	170
87	132	168
88	133	166
89	134	164
90	136	162
91	137	161
92	138	159
93	139	157
94	141	155
95	142	154
96	143	152
97	144	150
98	146	149
99	147	147
100	148	145
101	150	144
102	151	142
103	152	140
104	153	139
105	155	137
106	156	136
107	157	134
108	159	132
109	160	131
110	161	129
111	162	127
112	164	126
113	165	125
114	167	123
115	168	121
116	169	120
117	170	118
118	172	117
119	173	115
120	174	113
121	175	112
122	177	110
123	178	109
124	179	107
125	180	106
126	182	104
127	183	103
128	184	101
129	186	100
130	187	98
131	188	97
132	189	95
133	191	94
134	192	92
135	193	91
136	194	89
137	196	88
138	197	86
139	198	85
140	199	83
141	201	82
142	202	80
143	203	79
144	205	77
145	206	76
146	207	74
147	208	73
148	210	71
149	211	70
150	212	69
151	214	67
152	215	66
153	218	65
154	219	63
155	221	62
156	223	61
157	226	60
158	228	58
159	230	57
160	232	56
161	233	54
162	235	53
163	237	52
164	239	50
165	240	49
166	242	47
167	243	46
168	245	45
169	247	43
170	248	42
171	249	40
172	251	39
173	252	37
174	253	36
175	254	34
176	256	33
177	257	31
178	258	30
179	260	28
180	261	27
181	262	25
182	263	24
183	265	23
184	266	21
185	267	20
186	268	18
187	270	17
188	271	15
189	272	14
190	273	12
191	275	11
192	276	10
193	278	8
194	281	7
195	283	5
196	285	4
197	288	2
198	289	1
199	290	0
